user_id,user_screen_name,indegree,outdegree,bad_user_id
35507556,AlbaniLovesJB,187,457,90738470
33050092,Paoluchis,434,855,14926979
133917719,Marii_Elo_JB,229,246,151503329
192970044,VzlaCreenBiebs,173,164,152757011
84183942,mrsJoeSexyJonas,687,803,143774591
38708481,AdriiaaniitaJB,1530,1446,93591536
130301680,ItsAndreeh,296,723,148178206
100632842,_IssaBell_,216,432,102884202
61830343,MariBacallado,244,507,49125237
108069905,DilyJonas,1807,1818,150347954
69963881,FabianaBijocy,602,512,154739024
119870522,lovesmydrug,2814,2197,108643936
74337080,ilovejb_4ever,158,114,60110259
179209675,VEwantsJONAS,100,105,144577867
78116634,YureidyRodrigz,346,153,88053578
82805896,HaDsR,46,46,85652932
55640785,JenniiLopez,218,218,92347561
171660982,BieberBadMan,1070,1047,139009676
110785459,AlexandraGS13,740,1339,143556643
31258433,majokoury,280,1200,108732221
27185840,emperatrizji,472,392,10048135
62366853,jessicapriles,65,186,32756488
152707845,cheskitx,42,136,123506359
88458029,ItsTefyAl,840,1229,154643841
61206974,oriialexandra,263,353,82497571
163233385,JeannaGaga3,142,268,146842843
124937071,Itslauraandrea,338,302,128826518
44767501,paoladiaz3,180,147,144613621
174856903,xAnnaC,214,190,85120491
156732305,fabiiolaXD,135,296,142052022
159206437,bieberhechos2,6795,4291,128291965
160347844,Moree_jb,83,97,129119305
116216596,AndiiValen12,1055,2000,149309377
138207939,BarbiiJoop,135,212,113276212
48752635,VeroCSB,428,415,93800465
69342163,mafersMR,898,1987,142735174
27277024,zOlovenick,2360,2045,93609228
188031336,N_Salloum,211,155,149311883
30390723,MesstixLoveDC3,381,903,71086326
149896735,michy_tqm,73,141,153985533
139167354,girl_19,285,443,14582306
88520972,ItsDioo,541,674,134497053
136622411,_Mirangel_,526,526,143130229
183396491,steffDbieber,41,66,148350023
134876857,mayitax15,72,228,110951939
138507130,AliceBiebs,408,559,110170667
95275335,juliethmorillo,88,80,138738310
105648724,HeyYouDangerJB,755,1151,154651050
31550887,Veronica_JL,269,346,122344606
43189218,Neslie_JJB,330,668,130007425
135998954,_JeAnFrAnCo_,367,397,142676045
165249719,ItsNeii,19,27,142061191
66052902,AneerGC,272,405,126942571
183803968,istSeelGomez,680,604,146859659
29910863,Fab_OmJB,130,290,90676830
194647953,iShinealight,130,169,155028624
191107601,istMileeCyrus,550,539,150324341
129889547,anitapatiBieber,654,1041,131119802
116216099,topitop22,160,198,98193132
143268524,Paolaalcedo,148,110,147242529
162135592,JohaLop_Jonas,98,80,130239614
150357046,LoveIssOnItsWay,770,1032,16312732
162584790,GreciRond,222,2,130552772
108088986,marilau29,259,231,108670927
178568470,vane_sita_gonza,279,387,144311047
194650627,nazacastrox,101,161,155032549
